source,target,revenue,profit
Procter & Gamble,Always,67684,3897
Procter & Gamble,Bounty,,
Procter & Gamble,Charmin,,
Procter & Gamble,Crest,,
Procter & Gamble,Dawn,,
Procter & Gamble,Downy,,
Procter & Gamble,Febreze,,
Procter & Gamble,Gain,,
Procter & Gamble,Gillette,,
Procter & Gamble,Head & Shoulders,,
Procter & Gamble,Olay,,
Procter & Gamble,Oral-B,,
Procter & Gamble,Pampers,,
Procter & Gamble,Pantene,,
Procter & Gamble,Tide,,
Procter & Gamble,Vicks,,
PepsiCo.,Pepsi,67161,7314
PepsiCo.,Mountain Dew,,
PepsiCo.,Frito-Lay,,
PepsiCo.,Gatorade,,
PepsiCo.,Tropicana,,
PepsiCo.,7 Up,,
PepsiCo.,Doritos,,
PepsiCo.,Lipton Teas,,
PepsiCo.,Brisk,,
PepsiCo.,Quaker Foods,,
PepsiCo.,Cheetos,,
PepsiCo.,Ruffles,,
PepsiCo.,Aquafina,,
PepsiCo.,Propel,,
PepsiCo.,Sobe,,
PepsiCo.,Starbucks (ready to drink),,
PepsiCo.,Tostitos,,
"Mars, Inc.",3 Musketeers,42392,
"Mars, Inc.",Milky Way,,
"Mars, Inc.",M&Ms,,
"Mars, Inc.",Snickers,,
"Mars, Inc.",Twix,,
"Mars, Inc.",Uncle Ben's,,
"Mars, Inc.",IAMS,,
"Mars, Inc.",Pedigree,,
"Mars, Inc.",Double Mint,,
"Mars, Inc.",Altoids,,
"Mars, Inc.",Juicy Fruit,,
"Mars, Inc.",Skittles,,
"Mars, Inc.",Starburst,,
"Mars, Inc.",Lifesavers,,
3M,Post-it,32136,4570
3M,Magic tape,,
3M,Nexcare,,
3M,Scotch,,
3M,Bondo,,
3M,Fluorinert,,
3M,Petrifilm,,
3M,Tegaderm,,
3M,Vikuiti,,
The Walt Disney Company,Marvel,69570,11054
The Walt Disney Company,ABC Television Group,,
The Walt Disney Company,"ESPN, Inc.",,
The Walt Disney Company,Disneyland,,
The Walt Disney Company,Disney World,,
The Walt Disney Company,Disney Channel,,
The Walt Disney Company,Lucas Films,,
Comcast,Universal Parks,108942,13057
Comcast,NBC Universal,,
Comcast,Movies 24,,
Comcast,NHL TV,,
Comcast,Hulu,,
Comcast,DreamWorks,,
Johnson & Johnson,Band-Aid,82059,15119
Johnson & Johnson,Acuvue,,
Johnson & Johnson,Aveeno,,
Johnson & Johnson,Benadryl,,
Johnson & Johnson,Clean & Clear,,
Johnson & Johnson,Motrin,,
Johnson & Johnson,Neutrogena,,
Johnson & Johnson,Neosporin,,
Johnson & Johnson,Splenda,,
Johnson & Johnson,Sudafed,,
Johnson & Johnson,Tylenol,,
Time Warner,Entertainment Weekly,33500,
Time Warner,People,,
Time Warner,Time Magazine,,
Time Warner,HBO,,
Time Warner,Warner Bros.,,
Time Warner,CNN News Group,,
Time Warner,TBS,,
Hasbro,Bop It!,4720,520
Hasbro,Candy Land,,
Hasbro,Easy-Bake,,
Hasbro,G.I. Joe,,
Hasbro,Monopoly,,
Hasbro,My Little Pony,,
Hasbro,Potato Head,,
Hasbro,Nerf,,
Hasbro,Play-Doh,,
Hasbro,Playskool,,
Hasbro,Scrabble,,
Hasbro,Yahtzee,,
Viacom,BET,27812,3308
Viacom,CMT,,
Viacom,Comedy Central,,
Viacom,MTV,,
Viacom,Nick @ Nite,,
Viacom,Nickelodeon,,
Viacom,Nick Jr.,,
Viacom,Paramount,,
Viacom,TV Land,,
Viacom,Teen Nick,,
Viacom,VH1,,